Index,Prompt,Image_Path,Time_Taken_s,Status
1,"prompt_01 [sketch] Một chú mèo nhỏ cuộn tròn, ngủ yên trên chiếc gối mềm mại, bề mặt nhẵn mịn, chi tiết khuôn mặt yên bình. black and white line art, minimalist, clean white background, vector style",,0,"HTTPSConnectionPool(host='api-inference.huggingface.co', port=443): Max retries exceeded with url: /models/runwayml/stable-diffusion-v1-5 (Caused by NameResolutionError(""HTTPSConnection(host='api-inference.huggingface.co', port=443): Failed to resolve 'api-inference.huggingface.co' ([Errno 11001] getaddrinfo failed)""))"
2,"prompt_02 [sketch] Chú thỏ mềm mại nhảy vui vẻ, tai dựng cao, bộ lông có kết cấu mượt mà, chuyển động vận động năng động. black and white line art, minimalist, clean white background, vector style",,0,"HTTPSConnectionPool(host='api-inference.huggingface.co', port=443): Max retries exceeded with url: /models/runwayml/stable-diffusion-v1-5 (Caused by NameResolutionError(""HTTPSConnection(host='api-inference.huggingface.co', port=443): Failed to resolve 'api-inference.huggingface.co' ([Errno 11001] getaddrinfo failed)""))"
3,"prompt_03 [stipple] Con chim nhỏ xinh xắn với bộ lông chi tiết rõ nét, đậu trên cành cây, kết cấu lông vũ có độ dày, các đường nét tinh tế. black and white line art, minimalist, clean white background, vector style",,0,"HTTPSConnectionPool(host='api-inference.huggingface.co', port=443): Max retries exceeded with url: /models/runwayml/stable-diffusion-v1-5 (Caused by NameResolutionError(""HTTPSConnection(host='api-inference.huggingface.co', port=443): Failed to resolve 'api-inference.huggingface.co' ([Errno 11001] getaddrinfo failed)""))"
4,"prompt_04 [sketch] Chú chó dễ thương với mắt tròn to, cười toe toét, lưỡi thè ra, mặt có nếp nhăn, bề mặt bộ lông mềm mại. black and white line art, minimalist, clean white background, vector style",,0,"HTTPSConnectionPool(host='api-inference.huggingface.co', port=443): Max retries exceeded with url: /models/runwayml/stable-diffusion-v1-5 (Caused by NameResolutionError(""HTTPSConnection(host='api-inference.huggingface.co', port=443): Failed to resolve 'api-inference.huggingface.co' ([Errno 11001] getaddrinfo failed)""))"
5,"prompt_05 [sketch] Con bướm nhỏ xinh với cánh có kết cấu hoa văn tinh tế, các đường nét chi tiết, bề mặt cánh mịn mà với các chi tiết rõ nét. black and white line art, minimalist, clean white background, vector style",,0,"HTTPSConnectionPool(host='api-inference.huggingface.co', port=443): Max retries exceeded with url: /models/runwayml/stable-diffusion-v1-5 (Caused by NameResolutionError(""HTTPSConnection(host='api-inference.huggingface.co', port=443): Failed to resolve 'api-inference.huggingface.co' ([Errno 11001] getaddrinfo failed)""))"
6,"prompt_06 [sketch] Một con mèo đang ngồi trên bậu cửa sổ, nhìn ra thành phố lấp lánh với những ngôi nhà chi tiết rõ nét, ánh sáng chiều tà rọi vào tạo tương phản sáng tối. black and white line art, minimalist, clean white background, vector style",,0,"HTTPSConnectionPool(host='api-inference.huggingface.co', port=443): Max retries exceeded with url: /models/runwayml/stable-diffusion-v1-5 (Caused by NameResolutionError(""HTTPSConnection(host='api-inference.huggingface.co', port=443): Failed to resolve 'api-inference.huggingface.co' ([Errno 11001] getaddrinfo failed)""))"
7,"prompt_07 [line_art] Chú thỏ đứng giữa đồng hoa dại có kết cấu bóng sáng khác nhau, mặt trời chiếu sáng tạo tương phản, gió lay động cỏ với các đường nét mềm mại. black and white line art, minimalist, clean white background, vector style",,0,"HTTPSConnectionPool(host='api-inference.huggingface.co', port=443): Max retries exceeded with url: /models/runwayml/stable-diffusion-v1-5 (Caused by NameResolutionError(""HTTPSConnection(host='api-inference.huggingface.co', port=443): Failed to resolve 'api-inference.huggingface.co' ([Errno 11001] getaddrinfo failed)""))"
8,"prompt_08 [line_art] Con chó chạy vui vẻ trên bãi cát mịn, sóng biển xao xác phía sau, ánh sáng hoàng hôn tạo tương phản sáng tối, bề mặt cát nhám chi tiết. black and white line art, minimalist, clean white background, vector style",,0,"HTTPSConnectionPool(host='api-inference.huggingface.co', port=443): Max retries exceeded with url: /models/runwayml/stable-diffusion-v1-5 (Caused by NameResolutionError(""HTTPSConnection(host='api-inference.huggingface.co', port=443): Failed to resolve 'api-inference.huggingface.co' ([Errno 11001] getaddrinfo failed)""))"
9,"prompt_09 [line_art] Cô gái trẻ ngồi đọc sách dưới một cái cây to, công viên yên tĩnh quanh, ánh nắng len lỏi qua lá tạo tương phản sáng tối phức tạp, lá có kết cấu chi tiết. black and white line art, minimalist, clean white background, vector style",,0,"HTTPSConnectionPool(host='api-inference.huggingface.co', port=443): Max retries exceeded with url: /models/runwayml/stable-diffusion-v1-5 (Caused by NameResolutionError(""HTTPSConnection(host='api-inference.huggingface.co', port=443): Failed to resolve 'api-inference.huggingface.co' ([Errno 11001] getaddrinfo failed)""))"
10,"prompt_10 [sketch] Một chú nai dừng lại giữa rừng lá rụng mùa thu, đầu ngẩng cao, gió thổi lá bay xung quanh, bầu trời u ám tạo tương phản, lá có kết cấu nhám và chi tiết. black and white line art, minimalist, clean white background, vector style",,0,"HTTPSConnectionPool(host='api-inference.huggingface.co', port=443): Max retries exceeded with url: /models/runwayml/stable-diffusion-v1-5 (Caused by NameResolutionError(""HTTPSConnection(host='api-inference.huggingface.co', port=443): Failed to resolve 'api-inference.huggingface.co' ([Errno 11001] getaddrinfo failed)""))"
